7.10.0.0-7.10.63.255,1.1.0.0-1.1.3.255,DENY
6.9.0.0-6.9.7.255,1.2.1.8-1.2.1.9,ALLOW
8.5.0.0-8.5.15.255,5.8.2.4-5.8.2.7,DENY
1.0.0.0-1.255.255.255,9.0.0.0-9.15.255.255,DENY
7.4.0.0-7.7.255.255,4.0.0.0-4.7.255.255,ALLOW
7.8.0.0-7.8.255.255,10.0.0.0-10.31.255.255,ALLOW
6.2.2.9,0.0.0.0-7.255.255.255,ALLOW
9.4.0.0-9.4.15.255,3.0.0.0-3.255.255.255,DENY
0.0.0.0-127.255.255.255,10.0.0.0-10.255.255.255,ALLOW
9.0.0.0-9.7.255.255,8.1.0.0-8.1.63.255,ALLOW
4.0.0.0-7.255.255.255,10.0.0.0-10.255.255.255,DENY
10.5.7.6,1.8.8.0-1.8.8.31,ALLOW
9.9.3.0-9.9.3.31,8.6.8.0-8.6.15.255,ALLOW
0.0.0.0-15.255.255.255,9.10.0.0-9.10.7.255,DENY
1.8.0.0-1.8.255.255,6.9.6.9,ALLOW
9.5.1.8-9.5.1.9,2.4.5.0-2.4.5.63,DENY
0.0.0.0-63.255.255.255,1.1.0.0-1.1.7.255,DENY
0.0.0.0-7.255.255.255,4.0.0.0-5.255.255.255,ALLOW
4.8.2.0-4.8.2.63,8.0.0.0-8.31.255.255,DENY
2.0.0.0-2.7.255.255,8.6.8.0-8.6.11.255,DENY
6.2.5.10,2.2.6.0-2.2.6.63,DENY
8.0.0.0-11.255.255.255,3.8.0.0-3.8.127.255,DENY
3.9.0.0-3.9.63.255,10.4.0.0-10.4.31.255,DENY
9.0.0.0-9.63.255.255,4.10.0.0-4.11.255.255,ALLOW
6.8.0.0-6.8.63.255,9.8.0.0-9.8.255.255,DENY
5.0.0.0-5.255.255.255,1.0.0.0-1.255.255.255,ALLOW
6.6.1.0-6.6.1.63,6.6.1.4-6.6.1.5,DENY
10.0.0.0-10.63.255.255,4.0.0.0-4.127.255.255,ALLOW
5.9.2.0-5.9.2.255,0.0.0.0-31.255.255.255,ALLOW
6.9.0.0-6.9.31.255,8.4.10.6-8.4.10.7,DENY
7.9.0.0-7.9.31.255,0.0.0.0-63.255.255.255,ALLOW
10.0.0.0-10.63.255.255,1.1.0.0-1.1.255.255,ALLOW
2.3.0.0-2.3.127.255,8.0.0.0-8.7.255.255,DENY
9.0.0.0-9.3.255.255,5.10.0.0-5.10.127.255,DENY
1.6.3.0-1.6.3.15,9.7.1.6-9.7.1.7,DENY
1.4.0.0-1.7.255.255,6.4.0.0-6.7.255.255,ALLOW
4.9.5.0-4.9.5.31,10.5.8.0-10.5.11.255,ALLOW
2.5.2.0-2.5.2.7,10.5.0.0-10.5.127.255,DENY
2.0.0.0-3.255.255.255,0.0.0.0-127.255.255.255,DENY
2.2.3.0-2.2.3.127,8.0.0.0-15.255.255.255,ALLOW
10.7.6.0-10.7.7.255,3.5.0.0-3.5.15.255,DENY
8.0.0.0-11.255.255.255,10.8.4.0-10.8.4.255,DENY
0.0.0.0-15.255.255.255,9.8.1.0-9.8.1.31,ALLOW
5.8.0.0-5.8.255.255,1.4.0.0-1.7.255.255,ALLOW
2.0.0.0-2.15.255.255,2.8.0.0-2.11.255.255,DENY
1.8.0.0-1.11.255.255,5.4.1.0-5.4.1.127,DENY
2.8.0.0-2.11.255.255,6.4.10.0-6.4.10.31,DENY
10.0.0.0-10.127.255.255,7.6.4.0-7.6.5.255,ALLOW
5.10.8.0-5.10.9.255,2.7.0.0-2.7.255.255,DENY
6.0.0.0-6.7.255.255,0.0.0.0-63.255.255.255,ALLOW
7.8.2.0-7.8.2.7,8.3.8.0-8.3.15.255,DENY
